Series Name,Series Code,Code,2010AG.LND.ARBL.ZS,2011AG.LND.ARBL.ZS,2012AG.LND.ARBL.ZS,2013AG.LND.ARBL.ZS,2014AG.LND.ARBL.ZS,2010AG.SRF.TOTL.K2,2011AG.SRF.TOTL.K2,2012AG.SRF.TOTL.K2,2013AG.SRF.TOTL.K2,2014AG.SRF.TOTL.K2,2010EN.POP.DNST,2011EN.POP.DNST,2012EN.POP.DNST,2013EN.POP.DNST,2014EN.POP.DNST,2010IT.NET.USER.P2,2011IT.NET.USER.P2,2012IT.NET.USER.P2,2013IT.NET.USER.P2,2014IT.NET.USER.P2,2010MS.MIL.TOTL.TF.ZS,2011MS.MIL.TOTL.TF.ZS,2012MS.MIL.TOTL.TF.ZS,2013MS.MIL.TOTL.TF.ZS,2014MS.MIL.TOTL.TF.ZS,2010NY.GDP.MKTP.CD,2011NY.GDP.MKTP.CD,2012NY.GDP.MKTP.CD,2013NY.GDP.MKTP.CD,2014NY.GDP.MKTP.CD,2010NY.GDP.MKTP.KD.ZG,2011NY.GDP.MKTP.KD.ZG,2012NY.GDP.MKTP.KD.ZG,2013NY.GDP.MKTP.KD.ZG,2014NY.GDP.MKTP.KD.ZG,2010NY.GDP.PCAP.KD.ZG,2011NY.GDP.PCAP.KD.ZG,2012NY.GDP.PCAP.KD.ZG,2013NY.GDP.PCAP.KD.ZG,2014NY.GDP.PCAP.KD.ZG,2010NY.GDP.PCAP.CD,2011NY.GDP.PCAP.CD,2012NY.GDP.PCAP.CD,2013NY.GDP.PCAP.CD,2014NY.GDP.PCAP.CD,2010SL.TLF.TOTL.FE.ZS,2011SL.TLF.TOTL.FE.ZS,2012SL.TLF.TOTL.FE.ZS,2013SL.TLF.TOTL.FE.ZS,2014SL.TLF.TOTL.FE.ZS,2010SL.TLF.TOTL.IN,2011SL.TLF.TOTL.IN,2012SL.TLF.TOTL.IN,2013SL.TLF.TOTL.IN,2014SL.TLF.TOTL.IN,2010SL.UEM.TOTL.FE.ZS,2011SL.UEM.TOTL.FE.ZS,2012SL.UEM.TOTL.FE.ZS,2013SL.UEM.TOTL.FE.ZS,2014SL.UEM.TOTL.FE.ZS,2010SL.UEM.TOTL.ZS,2011SL.UEM.TOTL.ZS,2012SL.UEM.TOTL.ZS,2013SL.UEM.TOTL.ZS,2014SL.UEM.TOTL.ZS,2010SP.POP.GROW,2011SP.POP.GROW,2012SP.POP.GROW,2013SP.POP.GROW,2014SP.POP.GROW,2010SP.POP.TOTL,2011SP.POP.TOTL,2012SP.POP.TOTL,2013SP.POP.TOTL,2014SP.POP.TOTL,2010SP.POP.TOTL.FE.ZS,2011SP.POP.TOTL.FE.ZS,2012SP.POP.TOTL.FE.ZS,2013SP.POP.TOTL.FE.ZS,2014SP.POP.TOTL.FE.ZS,2010SP.RUR.TOTL,2011SP.RUR.TOTL,2012SP.RUR.TOTL,2013SP.RUR.TOTL,2014SP.RUR.TOTL
,,LSO,10.60606061,10.14492754,9.265480896,8.171936759,..,30360,30360,30360,30360,30360,66.22483531,66.96146245,67.76452569,68.6120224,69.47289196,3.86,4.2248,4.58961763,5,11,0.243364366,0.238893541,0.233985725,0.229504923,..,2187417432,2523356489,2384023630,2147680335,2088021624,7.867081634,4.045592214,4.994849617,4.603911234,1.983419325,6.784808785,2.901011372,3.750577583,3.311842189,0.719697327,1087.950195,1241.228997,1158.794394,1031.021336,989.9604561,46.23618755,46.03968261,45.85511838,45.82180549,..,821813,837193,854753,871441,..,27.20000076,28.70000076,27.10000038,28.29999924,..,24.70000076,26.20000076,24.10000038,24.70000076,..,1.008406698,1.106171828,1.192157153,1.242893486,1.24688598,2010586,2032950,2057331,2083061,2109197,50.87815194,50.80188888,50.72479829,50.64825274,50.5739388,1512906,1519569,1527363,1535820,1544164
,,PHL,17.77509474,18.27816346,18.71415635,18.74769427,..,300000,300000,300000,300000,300000,312.0330751,316.9374283,322.0220747,327.2350538,332.490492,25,29,36.2351,37,39.69,0.414119809,0.402331872,0.393787654,0.385570898,..,2.00E+11,2.24E+11,2.50E+11,2.72E+11,2.85E+11,7.632263916,3.659755139,6.801330639,7.181121861,6.095871823,6.016117017,2.055703334,5.114964896,5.473685724,4.418890651,2145.241711,2371.851515,2606.196984,2788.377358,2870.544518,38.85122665,38.99543201,39.08621325,39.19205401,..,39964280,41135195,42027727,42923364,..,7.099999905,6.699999809,6.800000191,6.900000095,..,7.300000191,7,7,7.099999905,..,1.512932342,1.559517527,1.591573066,1.605863369,1.593253248,93038902,94501233,96017322,97571676,99138690,49.41952561,49.41086113,49.42899157,49.46471556,49.50487948,50934147,51959613,52991960,54022510,55033870
,,SLV,32.48069498,33.34942085,34.74903475,35.23166023,..,21040,21040,21040,21040,21040,291.4240347,292.2397683,293.0614382,293.9017375,294.7734556,15.9,18.9,20.32138772,23.1093,29.7,1.251726902,1.227599632,1.209107462,1.191165461,..,21418300000,23139000000,23813600000,24259100000,25220000000,1.364783667,2.21683561,1.880955461,1.675888994,2,1.080446188,1.931516104,1.595307122,1.385185809,1.698360727,3547.070983,3821.33859,3921.720395,3983.664727,4129.209887,41.46809464,41.6775396,41.81793612,41.95812113,..,2596413,2631151,2671392,2711630,..,5.199999809,4.5,4.400000095,4.300000191,..,7,6.599999905,6.099999905,6.300000191,..,0.2809033,0.279521916,0.280768403,0.286321131,0.296162908,6038306,6055208,6072233,6089644,6107706,52.73273663,52.80868964,52.8803819,52.94772568,53.01073758,2156521,2132039,2107854,2084181,2061045
,,WSM,2.826855124,2.826855124,2.826855124,2.826855124,..,2840,2840,2840,2840,2840,65.73462898,66.23109541,66.74946996,67.27561837,67.78975265,7,11,12.92249,15.3,21.2,..,..,..,..,..,656789149.6,762098813.4,804335819.9,795947899.1,800586671.2,0.479158713,5.778544297,0.409528159,-1.928082041,1.194073613,-0.238669163,4.9856313,-0.370249491,-2.695081809,0.426592693,3530.573994,4065.958222,4257.975447,4180.6182,4173.091148,27.36133154,27.42630148,27.47189273,27.50691282,..,49146,47830,48475,49184,..,..,..,..,..,..,..,..,..,..,..,0.716968833,0.752420791,0.779628486,0.785153167,0.761315436,186029,187434,188901,190390,191845,48.42202022,48.4373166,48.44230576,48.44056936,48.43597696,148678,150215,151803,153378,154896
,,PRT,12.43585544,12.33759144,12.25024566,12.18340611,..,92210,92210,92210,92220,92220,115.4394585,115.2697893,114.8034065,114.1626092,113.5086572,53.3,55.24999688,60.33999749,62.0956,64.59,1.622535523,1.63701785,1.645585076,1.479460969,..,2.38E+11,2.45E+11,2.16E+11,2.25E+11,2.30E+11,1.898675039,-1.826801401,-4.028265295,-1.604815875,0.891129718,1.851904057,-1.682297225,-3.638385177,-1.063323601,1.472388929,22539.9945,23194.74385,20577.40643,21507.7112,22080.89196,47.95279139,47.66695044,48.02170787,48.3314793,..,5567459,5516128,5487410,5397236,..,12,13,15.60000038,16.60000038,..,10.80000019,12.69999981,15.60000038,16.5,..,0.045910037,-0.147084879,-0.405421788,-0.548815211,-0.574471934,10573100,10557560,10514844,10457295,10397393,52.14791687,52.26630895,52.38125173,52.48748628,52.57891419,4169291,4099817,4021087,3938426,3856601
,,MNG,0.395221298,0.393290249,0.416462834,0.364581992,..,1564120,1564120,1564120,1564120,1564120,1.746090914,1.775968743,1.807679781,1.840401401,1.873034192,10.2,12.49999111,16.4,20,27,1.41603878,1.384140963,1.352808533,1.343844501,..,7189482030,10409797336,12292770631,12545217934,12015944337,6.365161685,17.29077735,12.31981973,11.64458043,7.823899144,4.675768964,15.31754792,10.34946076,9.659583278,5.945345691,2650.346885,3772.931547,4377.23887,4387.707056,4129.373548,45.5845935,45.66289086,45.73995087,45.74369891,..,1214656,1242648,1271429,1302234,..,5.900000095,4.800000191,5.099999905,4.800000191,..,6.5,4.800000191,5.199999809,4.900000095,..,1.601043744,1.696651881,1.769808918,1.793956656,1.757597837,2712657,2759074,2808339,2859174,2909871,50.38454917,50.40901404,50.43223058,50.45471175,50.47725483,879796,868060,857330,847288,837403
,,ESP,25.05549889,24.86396735,25.12944563,25.12944563,..,505600,505600,505940,505940,505940,93.15193096,93.50783588,93.50683713,93.2009456,92.7702405,65.8,67.6,69.80999994,71.635,76.19,0.947903968,0.912619072,0.910956996,0.913538521,..,1.43E+12,1.49E+12,1.36E+12,1.39E+12,1.40E+12,0.013804783,-0.617622686,-2.088745234,-1.229951981,1.389371939,-0.44560868,-0.970139747,-2.152294426,-0.905782301,1.860093151,30737.83227,31973.01908,28985.33333,29880.71284,30262.22563,44.18367347,44.77549909,45.22253758,45.54856526,..,23548377,23635272,23667418,23419921,..,20.70000076,22.29999924,25.60000038,27.29999924,..,20.20000076,21.70000076,25.20000076,26.60000038,..,0.460408305,0.355338396,0.064925963,-0.32766904,-0.463196351,46576897,46742697,46773055,46620045,46404602,50.5504695,50.60666434,50.6934053,50.79422496,50.88508758,10041047,9968815,9868179,9730070,9580230
,,BEN,22.52571834,22.88045406,23.94466123,23.94466123,..,114760,114760,114760,114760,114760,84.33662646,86.72748315,89.1255055,91.5416105,93.99150408,3.13,4.148323066,4.5,4.9,5.3,0.185089497,0.233826968,0.226645718,0.219378173,..,6561782313,7289779658,7543183759,8307221458,8746992733,2.611487073,3.26371861,5.395889626,5.640149161,5.369098397,-0.289059238,0.416999863,2.560094223,2.851934147,2.622647213,690.0022811,745.4226606,750.5810826,804.7892605,825.3061838,46.89460672,46.93751005,46.98233818,46.96331858,..,3917024,4041450,4169503,4307630,..,1.200000048,1.200000048,1.100000024,1,..,1,1,1,1,..,2.867447847,2.795457664,2.72747256,2.674807796,2.641076758,9509798,9779391,10049792,10322232,10598482,50.24749211,50.21433339,50.18802379,50.16646593,50.14714371,5529567,5647012,5761847,5874795,5986659
,,ZMB,4.573642368,4.842680154,5.111717941,4.977199048,..,752610,752610,752610,752610,752610,18.7215849,19.29475242,19.8907451,20.50886614,21.1481766,10,11.5,13.4682,15.4,17.34,0.279367775,0.270661566,0.262274486,0.253960671,..,20265552104,23731726500,24939314029,26820806279,27066230009,10.29820581,6.338446147,6.730573989,6.713450204,6.000000073,7.052131435,3.179569487,3.532572067,3.497191031,2.795614669,1456.126526,1654.525289,1686.618024,1759.192902,1721.623274,46.55321965,46.47790565,46.52518892,46.51021868,..,5906193,6096174,6291119,6497069,..,11.60000038,11.60000038,11.39999962,11.39999962,..,13.19999981,13.19999981,13.10000038,13.30000019,..,2.987173419,3.015603249,3.042138971,3.060273408,3.069640155,13917439,14343526,14786581,15246086,15721343,50.1147589,50.1024016,50.09160671,50.08305082,50.07755381,8527911,8727605,8933017,9143535,9358601
,,GNQ,4.278074866,4.278074866,4.278074866,4.278074866,..,28050,28050,28050,28050,28050,25.97896613,26.77069519,27.58392157,28.41647059,29.26506239,6,11.5,13.94318219,16.4,18.86,0.348730305,0.337805849,0.327034614,0.316200231,..,11564374628,15711269412,16485813032,15580315664,14308094225,-1.300129418,4.995987885,3.220213278,-4.844898604,-3.107357222,-4.21963884,1.890787452,0.177085406,-7.632763695,-5.916929301,15869.65271,20922.74977,21306.96023,19546.69114,17430.08366,44.66389796,44.69171378,44.77475491,44.80557279,..,378516,390757,403627,417457,..,7.300000191,7.099999905,7.099999905,8.100000381,..,7,6.900000095,6.900000095,8,..,3.002596957,3.00206104,2.992522503,2.973587624,2.942546724,728710,750918,773729,797082,820885,48.68603422,48.69626244,48.70775168,48.72033241,48.73398832,442888,455529,468392,481414,494534
,,VNM,20.76176347,20.64469313,20.71403232,20.67113878,..,330957,330951,330972,330972,330972,280.3641113,283.2908698,286.2995453,289.3182185,292.6113458,30.65,35.07,39.49,43.9,48.31,1.025725409,1.008513535,0.991762142,0.976729184,..,1.16E+11,1.36E+11,1.56E+11,1.71E+11,1.86E+11,6.423238217,6.240302749,5.247367156,5.421882991,5.983654637,5.312271793,5.142703993,4.141339654,4.321937696,4.790885875,1333.583526,1543.02695,1755.265424,1908.64034,2052.294202,48.42015395,48.41968151,48.42509692,48.36721941,..,50890813,51759345,52633588,53443678,..,2.799999952,2.099999905,2,2.200000048,..,2.599999905,2,1.799999952,2,..,1.049400377,1.038502231,1.056444548,1.048856052,1.131807942,86932500,87840000,88772900,89708900,90730000,50.62475374,50.60150812,50.58123797,50.56370544,50.54822625,60511975,60584126,60660298,60724851,60833558
,,AZE,22.79447348,22.81327881,22.94756708,23.29207951,..,86600,86600,86600,86600,86600,109.5423442,110.9763362,112.4607902,113.9234808,115.3875924,46,50,54.2,58.7,61,1.815978081,1.768631491,1.725347791,1.689642645,..,52902703376,65951627200,68730906314,73560484385,75198010965,4.854339324,0.065922768,2.200000188,5.796678396,2,3.6141875,-1.229479184,0.850986009,4.437066291,0.705758746,5842.805784,7189.691229,7393.771877,7811.621418,7884.190236,49.38673618,49.25242677,48.98305538,48.88199057,..,4512169,4633526,4749767,4850138,..,6.800000191,6.699999809,6.400000095,6.599999905,..,5.599999905,5.400000095,5.199999809,5.5,..,1.189787708,1.303000855,1.328763827,1.293447027,1.276982804,9054332,9173082,9295784,9416801,9537823,50.43720844,50.38294179,50.33085057,50.28399064,50.24619983,4219228,4254200,4289447,4322312,4353539
,,AFG,11.93670925,11.9336458,11.93211408,11.92445547,..,652860,652860,652860,652860,652860,42.83032656,44.1276338,45.53319701,46.99705909,48.44454554,4,5,5.454545455,5.9,6.39,4.352304586,4.652662701,4.434656972,4.142137774,..,15936800636,17930239400,20536542737,20310881087,20841951232,8.433290482,6.113685169,14.43474129,1.934142828,1.998533202,5.505838227,2.99405152,10.90225788,-1.240896837,-1.049105959,569.9407288,622.3796544,690.842629,661.969562,658.9818126,15.53812459,15.75473475,15.86454434,15.93967023,..,7049139,7315166,7625167,7982593,..,12,12,13,12.19999981,..,8.5,8.399999619,8.699999809,8,..,2.736885959,2.983978666,3.135546164,3.164336274,3.033472553,27962207,28809167,29726803,30682500,31627506,48.6176717,48.60675076,48.56403832,48.50709036,48.45808898,21058618,21585556,22155981,22744630,23315165
,,DZA,3.149798047,3.149798047,3.151897352,3.147362852,..,2381740,2381740,2381740,2381740,2381740,15.13018172,15.4160958,15.71935938,16.03287303,16.34701269,12.5,14,15.22802676,16.5,18.09,2.805008656,2.741627535,2.678572183,2.624006867,..,1.61E+11,1.99E+11,2.04E+11,2.10E+11,2.14E+11,3.600169066,2.800018252,3.299991384,2.8,4.099998839,1.776424875,0.893441321,1.307090497,0.789804876,2.099514767,4473.487448,5421.743306,5457.642768,5504.181309,5498.05663,16.8776628,16.99723504,17.11296025,17.26496422,..,11308343,11569770,11842130,12088383,..,19.39999962,17.29999924,17.89999962,16.79999924,..,10,10,11,9.800000191,..,1.77604672,1.872060709,1.948088888,1.974814461,1.940399184,36036159,36717132,37439427,38186135,38934334,49.63012567,49.64784831,49.66037007,49.66948868,49.67763928,11702382,11672743,11654894,11642953,11630075
,,ALB,22.84671533,22.70072993,22.59489051,22.52189781,..,28750,28750,28750,28750,28750,106.314635,106.0138686,105.8572628,105.7432847,105.6377737,45,49,54.65595904,57.2,60.1,1.167020453,1.160795794,1.152627404,0.660440397,..,11926957255,12890866743,12344529628,12916669736,13370191506,3.706905672,2.545359489,1.623698601,1.417423278,1.9,4.223051185,2.836285586,1.774041281,1.52673864,2.001777663,4094.360204,4437.811725,4256.016702,4458.073207,4619.211258,40.91694803,40.99954355,41.07245142,41.17667169,..,1263474,1270680,1279685,1287020,..,17.10000038,15,13,13.80000019,..,14.19999981,14,13.89999962,16,..,-0.496461963,-0.283303108,-0.147831247,-0.107729507,-0.099830097,2913021,2904780,2900489,2897366,2894475,49.59276442,49.70010499,49.87129717,50.07340596,50.2597523,1393502,1358072,1324653,1292718,1261731
,,SYR,25.52415183,25.3880085,25.4043457,25.3880085,..,185180,185180,185180,185180,185180,112.8388716,114.7465937,116.6865708,118.6593422,120.6654686,20.7,22.5,24.3001,26.2,28.09,6.944185976,3.034895156,2.992963341,2.954392152,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.09989978,15.22642705,15.3022481,15.4047816,..,5803416,5865112,5947283,6024928,..,23,29.70000076,29.79999924,28.39999962,..,8.399999619,11.5,11.39999962,10.80000019,..,0.744689366,1.676527744,1.676529439,1.676525856,1.676527755,20720602,21070917,21427155,21789415,22157800,49.42911408,49.45579439,49.43905917,49.39854087,49.36826411,9183992,9257297,9329598,9401043,9471352
,,EGY,2.8861319,2.820834798,2.841930785,2.750514843,..,1001450,1001450,1001450,1001450,1001450,82.41598674,84.17061028,86.0524406,88.0143744,89.9891205,21.6,25.6,26.4,29.4,31.7,3.078782904,3.003684664,2.93804729,2.88366538,..,2.19E+11,2.36E+11,2.63E+11,2.72E+11,2.87E+11,5.138985832,1.821844376,2.191846905,2.109135828,2.200000008,3.090375464,-0.300737415,-0.042926629,-0.166985159,-0.042704997,2668.035988,2816.666943,3068.193883,3104.219707,3198.695058,23.96715125,23.96444601,24.06710141,24.11820757,..,27137347,27815836,28437255,28973542,..,22.20000076,27.5,29.20000076,29.29999924,..,9,12,12.69999981,12.69999981,..,1.967711427,2.106638179,2.211107117,2.254326174,2.218863304,82040994,83787634,85660902,87613909,89579670,49.53072972,49.5156851,49.50105825,49.48769949,49.47664018,46747779,47758951,48825001,49918025,50998602
,,ARE,0.605263158,0.539473684,0.443779904,0.448564593,..,83600,83600,83600,83600,83600,99.63460526,104.4823206,107.087823,108.1337081,108.6858732,68,78,84.9999915,88,90.4,0.90350128,0.857514975,0.831476505,1.010896339,..,2.86E+11,3.47E+11,3.72E+11,4.02E+11,4.02E+11,1.635449057,4.885270662,4.677891717,5.2,3.605467751,-5.978924813,0.018859486,2.131024205,4.18249009,3.079113047,34341.91129,39778.48971,41587.51281,44506.76359,44204.3186,12.77917525,12.81534273,12.92070469,13.00612812,..,5644707,5947418,6133667,6232093,..,9.5,9.300000191,9.100000381,8.800000191,..,4.199999809,4.099999905,4,3.799999952,..,7.787342107,4.750832934,2.463139721,0.971922647,0.509332471,8329453,8734722,8952542,9039978,9086139,25.18122138,25.23904024,25.49350788,25.8839568,26.32374433,1328131,1364800,1371171,1357714,1338752
,,OMN,0.11082391,0.119224556,0.108885299,0.12180937,..,309500,309500,309500,309500,309500,9.511298869,10.37157674,11.45457835,12.6233021,13.68677544,35.8278,48,60,66.45,70.22,3.632269078,3.15593191,2.716073782,2.367455248,..,58641352406,67937581274,76341482445,78182574772,81796618986,4.802852057,-1.091025209,7.08065789,3.912783126,..,-1.665079238,-9.295101028,-3.043549385,-5.7079434,..,19920.64957,21164.33576,21533.8076,20011.34778,19309.61245,17.33040588,16.13050517,14.96799367,14.05306324,..,1293957,1489259,1730439,1985254,..,15.60000038,15.39999962,15.19999981,15.30000019,..,8.199999809,8.100000381,7.900000095,7.900000095,..,6.370177491,8.658861205,9.932044759,9.715497284,8.08855916,2943747,3210003,3545192,3906912,4236057,40.34185003,38.59650598,36.81394407,35.29621348,34.23877441,731197,780320,843614,910350,966753
,,ARG,13.8784444,14.17076834,14.52630733,14.50621006,..,2780400,2780400,2780400,2780400,2780400,15.06304148,15.22116718,15.3818021,15.54370572,15.70511311,45,51,55.8,59.9,64.7,0.564383934,0.556349871,0.548688204,0.548062174,..,4.63E+11,5.60E+11,6.08E+11,6.22E+11,5.40E+11,9.451578331,8.386451456,0.801760179,2.885351883,0.46925706,8.325187198,7.260474555,-0.250930743,1.813695577,-0.563303534,11227.8385,13439.94146,14436.60009,14623.47869,12568.56982,40.21568727,40.31208802,40.32358775,40.4204179,..,18487415,18756183,19018087,19277010,..,9.199999809,8.600000381,8.899999619,9,..,7.699999809,7.199999809,7.199999809,7.5,..,1.034454869,1.044287673,1.049809261,1.047065055,1.033055553,41222875,41655616,42095224,42538304,42980026,51.08716702,51.08518141,51.08208,51.0780237,51.07325668,3724075,3693603,3664389,3636174,3608603
,,ABW,11.11111111,11.11111111,11.11111111,11.11111111,..,180,180,180,180,180,564.4277778,566.3111111,568.85,571.7833333,574.6722222,62,69,74,78.9,83.78,..,..,..,..,..,2467703911,2584463687,..,..,..,..,..,..,..,..,..,..,..,..,..,24289.14152,25353.78754,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.178313751,0.333115822,0.447318552,0.514335276,0.503969821,101597,101936,102393,102921,103441,52.32339538,52.32695024,52.35221158,52.39261181,52.43568798,57850,58411,59015,59634,60224
,,MKD,16.41554322,16.41554322,16.41554322,16.37589215,..,25710,25710,25710,25710,25710,81.77807296,81.9146709,82.04877082,82.17854877,82.30075337,51.9,56.7,57.44994731,65.24,68.06,0.852367771,0.850258798,0.850761538,0.845863569,..,9407170388,10494626768,9745261301,10767438756,11323761624,3.358760114,2.339892284,-0.456184412,2.665637227,3.767558059,3.182205944,2.169233986,-0.618878108,2.503505667,3.61347839,4561.178364,5079.959208,4709.516545,5195.278822,5455.591267,38.86786382,39.55733401,39.31879524,39.43616849,..,938562,940890,940334,945779,..,32.20000076,30.89999962,30.29999924,28.89999962,..,32,31.39999962,31,29,..,0.1709629,0.166895571,0.163572988,0.158046763,0.148595745,2062443,2065888,2069270,2072543,2075625,50.18039286,50.18892602,50.19721931,50.20527921,50.212972,887015,889117,890635,891587,891917
,,MDV,13,13,13,13,..,300,300,300,300,300,1108.583333,1128.726667,1149.39,1170.37,1191.383333,26.53,34,38.9301,44.1,49.28,..,..,..,..,..,2332466301,2460699388,2534540871,2705145309,3032239478,7.196444635,10.8308372,1.492160161,7.720678134,7.562028056,5.306989449,8.852942498,-0.332430566,5.789682101,5.664874817,7013.354284,7266.888906,7350.394182,7704.530216,8483.805879,42.21018446,42.26678953,42.33636265,42.40195356,..,155806,160606,165274,169537,..,18.5,18.20000076,17.60000038,18.29999924,..,11.69999981,11.5,11.10000038,11.60000038,..,1.77832889,1.800722979,1.814121316,1.808857127,1.779515884,332575,338618,344817,351111,357415,49.85852815,49.86356307,49.86268078,49.85830692,49.85409118,199598,199246,198949,198673,198387
,,IMY,44.52631579,43.80701754,37.71929825,38.42105263,..,570,570,570,570,570,147.9421053,149.2438596,150.4894737,151.6877193,152.854386,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.928078143,0.876059347,0.83115294,0.793078976,0.766181328,84327,85069,85779,86462,87127,..,..,..,..,..,40482,40823,41138,41429,41701
,,MWI,39.24480272,38.18413237,39.77513789,40.30547306,..,118480,118480,118480,118480,118480,156.659143,161.5062898,166.5298685,171.7238651,177.0815974,2.26,3.33,4.3506,5.05,5.83,0.080246335,0.099602586,0.096337148,0.093006525,..,5398615401,5627896279,4240491999,3883521175,4258033615,6.533362437,4.347495193,1.885799515,5.199999988,5.700000002,3.354143978,1.215805227,-1.187711184,2.018098377,2.501969765,365.5165695,369.6043472,270.0875313,239.8697314,255.0445696,51.73438826,51.5960289,51.52062522,51.4440152,..,6604663,6827132,7058544,7311315,..,8.699999809,8.800000191,8.800000191,8.800000191,..,7.5,7.599999905,7.599999905,7.599999905,..,3.029681654,3.047170654,3.06305957,3.071306757,3.072287728,14769824,15226813,15700436,16190126,16695253,50.19256154,50.17480677,50.15405305,50.13126519,50.10777614,12474593,12841837,13220081,13608772,14006983
,,MYS,2.833663065,2.90366763,2.891492923,2.90366763,..,330800,330800,330800,330800,330800,85.5866687,86.9668848,88.33340435,89.68306803,91.01201339,56.3,61,65.8,66.97,67.5,1.105685308,1.075344028,1.048691385,1.024481032,..,2.48E+11,2.89E+11,3.05E+11,3.13E+11,3.27E+11,7.425970496,5.18725089,5.644607234,4.73391982,6.032905371,5.674410859,3.51786676,4.010283019,3.157751987,4.48462693,8802.91349,10125.88166,10507.79278,10628.0093,10933.48527,37.2978607,37.40278339,37.49956337,37.5914681,..,12083004,12423931,12739687,13040749,..,3.599999905,3.299999952,3.200000048,3.400000095,..,3.400000095,3.099999905,3,3.200000048,..,1.643919239,1.599788019,1.559092963,1.516364769,1.470952411,28119500,28572970,29021940,29465372,29901997,50.36752787,50.43067976,50.45762275,50.46090034,50.45796105,8179400,8076150,7973488,7871969,7771529
,,MHL,11.11111111,11.11111111,11.11111111,11.11111111,..,180,180,180,180,180,291.2666667,291.8944444,292.5722222,293.2555556,293.8777778,7,10,12.5,14,16.8,..,..,..,..,..,163917000,172956700,184358700,190914600,..,6.144004056,0.023608619,4.721089528,2.988574581,..,5.927375376,-0.191512292,4.478490873,2.748594384,..,3126.516365,3291.842561,3500.725367,3616.765809,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.204297964,0.215301744,0.231930449,0.233288236,0.211952693,52428,52541,52663,52786,52898,..,..,..,..,..,15024,14912,14803,14696,14587
,,MLT,28.375,28.375,28.125,28.03125,..,320,320,320,320,320,1295.3375,1300.8375,1310.796875,1323.04375,1335.6375,63,68.01982379,68.19987429,68.9138,73.17,1.206890682,1.178471767,1.151606572,1.13992743,..,8163355021,9302635890,8882509104,9642848650,..,4.3,1.4,1.1,2.9,..,3.788952445,0.971276197,0.331846801,1.947496776,..,19694.08316,22347.70842,21176.30998,22776.19469,..,34.17083716,34.77047595,36.55999438,36.6152183,..,176238,179894,184959,186854,..,7,7.199999809,7.400000095,6.5,..,6.900000095,6.5,6.400000095,6.5,..,0.491182811,0.423700885,0.762696599,0.929969957,0.947375259,414508,416268,419455,423374,427404,50.32664829,50.29113083,50.26299579,50.24055362,50.22060073,22114,21509,21011,20580,20186
,,MDG,6.018502597,6.015864695,6.015864695,6.015812994,..,587040,587295,587295,587295,587295,36.24777659,37.26203732,38.31885802,39.40281368,40.51514782,1.7,1.9,2.3,3,3.7,0.203447761,0.19692717,0.190776116,0.184801908,..,8729936136,9892702358,9919780222,10613473993,10593147527,0.263110856,1.454392168,3.027536044,2.414297692,2.973185114,-2.513810898,-1.350420839,0.186072635,-0.403934665,0.146079821,414.1427872,456.3293071,444.9585005,462.9740061,449.4008359,49.48796154,49.435986,49.43876493,49.44031117,..,10616976,10968522,11322172,11688191,..,4.599999905,4.599999905,4.599999905,4.599999905,..,3.599999905,3.599999905,3.599999905,3.599999905,..,2.80871215,2.803539277,2.79671094,2.790366962,2.783869737,21079532,21678867,22293720,22924557,23571713,50.18943969,50.18190296,50.1732461,50.16392683,50.15450935,14349048,14619794,14893097,15168721,15447015
,,MLI,5.131168097,5.622894795,5.622894795,5.254099771,..,1240190,1240190,1240190,1240190,1240190,12.43026578,12.81695064,13.20477385,13.59796179,14.00275531,2,2.2,2.8,3.5,7,0.230402949,0.223704544,0.139759975,0.205293261,..,9422267260,10647545670,10340794110,11111650036,12074473002,5.81931483,2.73011101,-0.408303576,2.13724361,7.222129273,2.521228915,-0.369236079,-3.333304158,-0.816076428,4.122537677,621.223023,680.8278902,641.7937185,669.6953397,706.6871974,38.27277434,38.28689454,38.41949745,38.49549616,..,5273370,5431271,5580997,5747875,..,11.10000038,11.19999981,11,11.30000019,..,8.100000381,8.100000381,8.100000381,8.199999809,..,3.166317409,3.063427622,2.980985575,2.934149407,2.933420467,15167286,15639115,16112333,16592097,17086022,49.60156352,49.57861107,49.56196598,49.54857123,49.53467811,9707670,9885641,10057479,10226871,10398040
